Λούκης, Γιώργος  Ιωάννης 
Μητρόπουλος, Δημήτριος 
Μπέσκος, Γεώργιος 
Μπρούμας, Ιωάννης 
Κοντόπουλος, Μιχαήλ 
Καγιαμπάκης, Μιχάλης 
Τρικκαλίδης, Δημήτρης Β. 
Ζερβάκη, Κωνσταντίνα 
Αρβανίτης, Αθανάσιος 
Σαμιώτης, Κωνσταντίνος 
Δρίμτζιας, Βασίλης 
Prassas, George 
Γάκης, Κωνσταντίνος 
Τσίχλας, Νικόλαος 
Ρέντας, Νικόλαος 
Σκαλαίου, Κυριακή 
Τζαμαλούκας, Κωνσταντίνος 
Αλμπάνης, Ευστράτιος 
Καρδίτση, Κυριακή 
Παπαδημητρίου, Χριστίνα 
Γιολδάσης, Κωνσταντίνος Αθ. 
Αθανασίου, Αθανάσιος Δ. 
Μαλακασιώτης, Πρόδρομος 
Σιλιβίστρα, Δέσποινα 
Βελέντζας, Κωνσταντίνος 
Λουκάς, Μιχαήλ 
Τριποδιανός, Χαράλαμπος 
Πάσχος, Αντώνιος - Ανδρέας 
Τσαγαλά, Ευρύκλεια 
Πολυχρονόπουλος, Κωνσταντίνος 
Σιδηροπούλου, Παρασκευή Ν. 
Τετράδης, Νικόλαος Χρ. 
Χαραλάμπους, Άλκηστη Κ. 
Μαξούτογλου, Αλίκη Ι. 
Χρονόπουλος, Κωνσταντίνος Βασ. 
Μπελέχα, Χάιδω - Χαρούλα Ε. 
Στάικος, Ιωάννης Δ. 
Στασινού, - Παναγιωτοπούλου Αγγελική 
Κανάκη, Αγγελική 
Παπάζογλου, Άννα Α. 
Δήμας, Λάμπρος Π. 
Καρναβάς, Βασίλης Ζ. 
Ρεκλείτης, Χρήστος Αθανασίου 
Πολίτη, Αναστασία Σωτηρίου 
Σωτηρόπουλος, Νικόλαος 
Μπόσιος, Δημήτριος Ι. 
Βαρβιτσιώτης, Δημήτριος Π. 
Τσούμας, Δημήτριος Ι. 
Γιαλός, Ευάγγελος Γ. 
Ζωγράφος, Παναγιώτης Θ. 
Σκιαδά, Μαργαρίτα 
Τσενεκίδου, Ευφροσύνη Λ. 
Γαλανοπούλου, Ισμήνη Ι. 
Χριστοπούλου, Ρεβέκκα Α. 
Καραμανώλη, Ελένη Στ. 
Βασιλείου, Βαρβάρα Β. 
Βλαχάκης, Νικόλαος 
Τσατραφύλλιας,  Γεώργιος Δ. 
Καραμολέγκος, Εμμανουήλ Στ. 
Παναγιώτου, Ανέστης Στ. 
Καρκάνης, Βασίλειος Χ. 
Αρβανίτης, Γεώργιος Β. 
Σαλτογιάννης, Δημήτριος Π. 
Πλατάρη, Παρασκευή Β. 
Κατωπόδης, Σπυρίδων Γ. 
Βασίλειος, Μάρκος Ι. 
Δραχτίδης, Παναγιώτης Η. 
Οικονόμου, Ιωάννης 
Giakoumatos, Stefanos G. 
Kouvatseas, George A. 
Vrontos, Ioannis D. 
Makatis, Georgiow D. 
Gritsis, Ioannis A. 
Lytrokapi, Anna 
Karalis, Ioannis 
Boukouvalas, Konstantinos D. 
Linardis, Apostolos J. 
Fanara, Fotini N. 
Kalogirou, Aikaterini G. 
Koutsoumbos, Fotios V. 
Vargemidis, Nikolaos G. 
Enotiadis, Charalampos I. 
Likos, Andreas Thomas 
Tzavidis, Nikolaos T. 
Peristera, Paraskevi M. 
Demiris, Nikolaos 
Papaleonida, Georgia Ekaterini A. 
Margiora, Filippa E. 
Anastasiou, Panagiota 
Liva, Polyxeni G. 
Thanou, Sofia G. 
Xronis, George A. 
Lyra, Maria N. 
Giannakopoulou, Judith G. 
Argiropoulou, Aikaterini X. 
Yiokari, Nikkie 
Banti, Maria A. 
Tsompanaki, Evgenia 
Demetrakopoulou, Dionysia 
Michalakopoulos, Vasilis 
Mexas, Spyridon K. 
Karakou, Sofia K. 
Chatzopoulos, Agisilaos A. 
Houndas, Ioannis L. 
Alexandrou, Evangelia 
Panousis, Vangelis 
Tsouraki, Aspasia E. 
Peponoulas, Miltiadis D. 
Matsioula, Androniki P. 
Bakogeorgou, Maria Th. 
Giannopoulou, Efstthia N. 
Koukoufilippou, Christos S. 
Sotiropoulou, Christina I. 
Maravelakis, Petros E. 
Dimitrakos, Theodosis D. 
Magoulas, Antonios M. 
Mauridis, Dimitrios Stylianos 
Zografi, Mimoza 
Haralampopoulos, Anastastios A. 
Maniati, Georgia - Alexia Efstathiou 
Karamanlis, Orestis G. 
Ευθυμίου, Αντρέας 
Φραγκούδης, Παντελής 
Rizopoulos, Dimitrios K. 
Mniestris, Nikolaos Ioakim 
Kazamias, Panagiotis N. 
Vareli, Aikaterini A. 
Karayiannis, Stavros G. 
Sourla, Isabella 
Costi, Eleni C. 
Malesios, Chrisovaladis C. 
Balta, Vassiliki K. 
Bissiela, Panagiota Z. 
Kalamidas, Georgios M. 
Kosmas, Dimitrios G. 
Kyriakousis, George A. 
Seizi, Chrissanthi S. 
Kamilatou, Evangelia Spir. 
Βουτσής, Δημήτρης 
Σκολίδης, Βασίλειος 
Τσίμη, - Γιαννίκου Ελένη 
Αρχιμανδρίτης, Χρήστος 
Κουφουδάκη, Ευφροσύνη - Βασίλεια 
Βολουδάκη, Ευγενία Ε. 
Μαραϊδώνη, Ανθούλα 
Σουμπάσης, Παναγιώτης Πολ. 
Καλέγιας, Κωνσταντίνος Μιχ. 
